REFERANS_YIL;BULTEN_NO;KAPSAMICI_KAPSAMDISI;BT_BILG_MASAUSTU;BT_BILG_DIZUSTU;BT_TABLET;BT_TEL_CEP;BT_DIGER_CIHAZ;HANE_INTERNET_ERISIM_DURUMU;hane_aylik_gelir_grp_5;HHB;IBBS_1;HANE_FAKTOR
2023;10174;1;2;2;1;1;2;1;4;5;TR1;5083.849647
2023;10175;1;2;2;2;1;1;1;3;4;TR1;3522.003885
2023;10176;1;2;2;2;1;1;1;3;5;TR1;4056.378212
2023;10177;1;2;2;2;1;2;1;5;4;TR1;3993.161896
2023;10178;1;2;1;2;1;1;1;2;4;TR1;3446.961354
2023;10179;1;2;1;2;1;2;1;3;3;TR1;4387.566535
2023;10181;1;2;2;2;1;2;1;2;9;TR1;3933.72453
2023;10182;1;2;1;2;1;2;1;3;3;TR1;3400.432961
2023;10183;1;2;2;2;1;2;1;3;3;TR1;3919.674145
2023;10184;1;2;2;2;1;1;1;1;2;TR1;3426.489424
2023;10185;1;2;2;2;1;2;1;3;4;TR1;4974.770398
2023;10186;1;2;2;2;1;1;1;3;4;TR1;1155.541659
2023;10187;1;1;1;2;1;2;1;5;4;TR1;3387.392887
2023;10188;1;2;2;2;1;2;1;1;7;TR1;5175.72587
2023;10189;1;1;2;1;1;1;1;4;6;TR1;6588.379985
2023;10191;1;2;1;2;1;2;1;2;3;TR1;4047.881813
2023;10192;1;2;2;2;1;2;1;2;3;TR1;4794.341618
2023;10193;1;2;1;1;1;1;1;3;3;TR1;2414.930282
2023;10194;1;2;1;1;1;1;1;5;3;TR1;4047.881813
2023;10195;1;2;2;2;1;2;1;5;3;TR1;4794.341618
2023;10197;1;2;1;1;1;2;1;3;3;TR1;4355.193494
2023;10198;1;2;1;1;1;1;1;5;1;TR1;5439.783511
2023;10199;1;2;2;1;1;2;1;4;2;TR1;3555.463624
2023;10201;1;2;2;2;1;2;1;2;4;TR1;3619.00007
2023;10203;1;2;2;2;1;2;1;2;3;TR1;3738.169995
2023;10204;1;2;2;2;1;1;1;2;1;TR1;4895.80516
2023;10205;1;2;1;1;1;2;1;4;1;TR1;4852.032646
2023;10206;1;2;1;2;1;1;1;5;3;TR1;3939.344063
2023;10207;1;2;2;2;1;2;1;4;3;TR1;4684.038291
2023;10208;1;2;2;2;1;2;1;3;3;TR1;3428.641079
2023;10209;1;2;2;2;1;2;1;1;2;TR1;3596.795394
2023;10211;1;2;1;2;1;2;1;4;1;TR1;4850.033545
