BULTEN_NO,BT_BILG_MASAUSTU,BT_BILG_DIZUSTU,BT_TABLET,BT_TEL_CEP,BT_DIGER_CIHAZ,SON_KULLANIM_ETICARET,YAS,hane_aylik_gelir_grp_5,E_TICARET_YAPTI_MI
22451,2,2,2,1,2,90.0,37,4,0
22451,2,2,2,1,2,3.0,40,4,1
22452,2,2,2,1,2,1.0,22,3,1
22454,2,2,1,1,2,3.0,28,4,1
22454,2,2,1,1,2,2.0,27,4,1
22458,2,2,2,1,2,90.0,60,1,0
22461,2,2,2,1,2,90.0,65,1,0
22464,2,2,2,1,2,90.0,73,2,0
22466,2,1,1,1,1,90.0,48,2,0
22466,2,1,1,1,1,3.0,19,2,1
22466,2,1,1,1,1,90.0,48,2,0
22466,2,1,1,1,1,90.0,46,2,0
22466,2,1,1,1,1,90.0,46,2,0
22469,2,2,2,1,2,90.0,69,1,0
224610,2,2,2,1,2,90.0,46,2,0
22471,2,2,2,1,2,90.0,54,2,0
22472,2,2,1,1,2,90.0,45,1,0
22472,2,2,1,1,2,90.0,41,1,0
22472,2,2,1,1,2,2.0,16,1,1
22472,2,2,1,1,2,1.0,17,1,1
22473,2,1,1,1,1,90.0,65,2,0
22474,2,2,2,1,2,90.0,66,4,0
22476,2,2,1,1,2,90.0,56,1,0
22477,2,2,1,1,2,90.0,44,1,0
22477,2,2,1,1,2,1.0,40,1,1
22479,2,2,2,1,2,3.0,58,1,1
22479,2,2,2,1,2,90.0,54,1,0
22482,1,2,2,1,2,90.0,59,4,0
22482,1,2,2,1,2,90.0,58,4,0
22483,2,2,2,1,2,90.0,70,1,0
22485,2,2,1,1,1,2.0,36,2,1
22485,2,2,1,1,1,1.0,27,2,1
22486,2,2,2,1,2,90.0,40,4,0
22486,2,2,2,1,2,1.0,39,4,1
22486,2,2,2,1,2,1.0,18,4,1
22488,2,2,2,1,2,3.0,32,4,1
22488,2,2,2,1,2,90.0,34,4,0
22488,2,2,2,1,2,90.0,56,4,0
22489,2,2,2,1,1,90.0,51,4,0
22489,2,2,2,1,1,1.0,21,4,1
22489,2,2,2,1,1,1.0,49,4,1
22491,1,2,2,1,2,1.0,18,2,1
22491,1,2,2,1,2,3.0,44,2,1
22493,2,2,2,1,1,2.0,30,1,1
22495,2,2,2,1,2,2.0,23,4,1
22495,2,2,2,1,2,90.0,42,4,0
22496,2,2,2,1,2,90.0,72,5,0
22496,2,2,2,1,2,1.0,45,5,1
22496,2,2,2,1,2,2.0,38,5,1
22496,2,2,2,1,2,2.0,22,5,1
22496,2,2,2,1,2,1.0,16,5,1
22497,2,1,1,1,1,3.0,39,3,1
22497,2,1,1,1,1,1.0,16,3,1
22497,2,1,1,1,1,90.0,37,3,0
22499,2,2,2,1,1,1.0,55,4,1
22499,2,2,2,1,1,1.0,50,4,1
22501,2,1,2,1,1,90.0,39,3,0
22501,2,1,2,1,1,90.0,43,3,0
22502,2,2,2,1,2,90.0,59,1,0
22503,2,2,2,1,1,90.0,48,3,0
22504,2,2,2,1,2,1.0,26,2,1
22504,2,2,2,1,2,1.0,26,2,1
22505,2,1,2,1,1,1.0,29,5,1
22507,2,1,1,1,1,1.0,40,3,1
22507,2,1,1,1,1,90.0,38,3,0
225010,2,2,2,1,2,90.0,73,2,0
22511,2,2,2,1,2,90.0,39,3,0
22511,2,2,2,1,2,90.0,34,3,0
22513,2,2,2,1,2,90.0,51,2,0
22513,2,2,2,1,2,2.0,26,2,1
22513,2,2,2,1,2,1.0,20,2,1
22514,2,2,2,1,2,3.0,32,5,1
22515,2,2,2,1,2,90.0,51,1,0
22515,2,2,2,1,2,1.0,19,1,1
22516,2,2,2,1,2,1.0,27,2,1
22516,2,2,2,1,2,90.0,50,2,0
22517,2,2,2,1,2,90.0,63,1,0
22518,2,2,2,1,2,90.0,56,2,0
22519,2,2,2,1,2,90.0,38,3,0
22523,1,2,2,1,2,90.0,54,3,0
22523,1,2,2,1,2,90.0,50,3,0
22527,2,2,2,1,2,90.0,42,1,0
22528,2,2,2,1,2,90.0,59,1,0
225210,2,2,2,1,2,90.0,60,1,0
22534,2,2,2,1,2,90.0,58,1,0
22535,2,2,2,1,2,90.0,63,1,0
22535,2,2,2,1,2,90.0,62,1,0
22536,2,2,2,1,2,90.0,67,1,0
22536,2,2,2,1,2,90.0,63,1,0
22539,2,2,2,1,1,90.0,22,2,0
22541,2,2,2,1,2,90.0,64,1,0
22544,1,1,1,1,2,1.0,55,1,1
22544,1,1,1,1,2,90.0,53,1,0
22545,2,1,2,1,2,1.0,22,3,1
